Player 1 executed Command Take with arguments "grain" and exit code OK :Take grain
Player 3 executed Command move with arguments "n" and exit code OK :move n
Player 1 executed Command move with arguments "s" and exit code OK :move s
Player 3 executed Command recruit with arguments "merchant" and exit code OK :recruit merchant
Player 1 executed Command move with arguments "s" and exit code OK :move s
Player 3 executed Command move with arguments "n" and exit code OK :move n
Player 1 executed Command move with arguments "s" and exit code OK :move s
Player 3 executed Command forsake with arguments "merchant" and exit code OK :forsake merchant
Player 1 executed Command move with arguments "n" and exit code OK :move n
Player 3 executed Command move with arguments "s" and exit code OK :move s
Player 1 executed Command Exit with arguments "" and exit code OK :Exit 
